Description of Goods and Services being Recharged,Quantity,Approved Rate
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  6406.00  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.08 6406.00   <> Total          $6,406.00 $6,406.00",,
AWS CLOUD SERVICES,1,4040.93
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  4040.93  <> 4 27055 621588 UD 03 3270   AWS CLOUD SERVICES 2025.08 4040.93   <> Total          $4,040.93 $4,040.93",,
AWS CLOUD SERVICES,1,3.41
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3.41  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.08 3.41   <> Total          $3.41 $3.41,,
AWS CLOUD SERVICES,1,3207.61
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3207.61  <> 4 19900 727601 ED 03 3270  IMACCS AWS CLOUD SERVICES 2025.08 3207.61   <> Total          $3,207.61 $3,207.61",,
AWS CLOUD SERVICES,1,4.2
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  4.20  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.08 4.20   <> Total          $4.20 $4.20,,
AWS CLOUD SERVICES,1,239.19
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  239.19  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.08 239.19   <> Total          $239.19 $239.19,,
AWS CLOUD SERVICES,1,12.58
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  12.58  <> 4 19900 433943  03 3270   AWS CLOUD SERVICES 2025.08 12.58   <> Total          $12.58 $12.58,,
AWS CLOUD SERVICES,1,350.76
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  350.76  <> 4 69460 402832 WG 03 3270 AWS  AWS CLOUD SERVICES 2025.08 350.76   <> Total          $350.76 $350.76,,
AWS CLOUD SERVICES,1,13.41
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  13.41  <> 4 62259 401180 2Y 03 3270 FLYW 210 AWS CLOUD SERVICES 2025.08 13.41   <> Total          $13.41 $13.41,,
AWS CLOUD SERVICES,1,275.34
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  275.34  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.08 275.34   <> Total          $275.34 $275.34,,
AWS CLOUD SERVICES,1,111.69
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  111.69  <> 4 69315 403831 BG 05 3270   AWS CLOUD SERVICES 2025.08 111.69   <> Total          $111.69 $111.69,,
AWS CLOUD SERVICES,1,309.96
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  309.96  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.08 309.96   <> Total          $309.96 $309.96,,
AWS CLOUD SERVICES,1,1444.46
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1444.46  <> 4 19900 727601 CD 03 3270  DMBIAN AWS CLOUD SERVICES 2025.08 1444.46   <> Total          $1,444.46 $1,444.46",,
AWS CLOUD SERVICES,1,56.99
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  56.99  <> 4 57946 442521 YS 03 3270   AWS CLOUD SERVICES 2025.08 56.99   <> Total          $56.99 $56.99,,
AWS CLOUD SERVICES,1,2.28
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2.28  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.08 2.28   <> Total          $2.28 $2.28,,
AWS CLOUD SERVICES,1,382.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  382.10  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.08 382.10   <> Total          $382.10 $382.10,,
AWS CLOUD SERVICES,1,44.3
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  44.30  <> 4 30356 441406 HW 03 3270   AWS CLOUD SERVICES 2025.08 44.30   <> Total          $44.30 $44.30,,
AWS CLOUD SERVICES,1,711.96
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  711.96  <> 4 19900 727601 FS 03 3270  FNLEDG AWS CLOUD SERVICES 2025.08 711.96   <> Total          $711.96 $711.96,,
AWS CLOUD SERVICES,1,1.73
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1.73  <> 4 00215 804215 LZ 03 3270  BC84 AWS CLOUD SERVICES 2025.08 1.73   <> Total          $1.73 $1.73,,
AWS CLOUD SERVICES,1,1759.17
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1759.17  <> 4 19900 727601 CD 03 3270  DMBIAN AWS CLOUD SERVICES 2025.08 1759.17   <> Total          $1,759.17 $1,759.17",,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.01  <> 4 69314 404025 ZB 03 3270   AWS CLOUD SERVICES 2025.08 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,1149.14
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1149.14  <> 4 19900 444070 T1 03 3270   AWS CLOUD SERVICES 2025.08 1149.14   <> Total          $1,149.14 $1,149.14",,
AWS CLOUD SERVICES,1,2896.55
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2896.55  <> 4 19900 402701 2J 03 3270  AWS AWS CLOUD SERVICES 2025.08 2896.55   <> Total          $2,896.55 $2,896.55",,
AWS CLOUD SERVICES,1,415.23
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  415.23  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 415.23   <> Total          $415.23 $415.23,,
AWS CLOUD SERVICES,1,0.74
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.74  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.08 0.74   <> Total          $0.74 $0.74,,
AWS CLOUD SERVICES,1,83.33
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  83.33  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.08 83.33   <> Total          $83.33 $83.33,,
AWS CLOUD SERVICES,1,93.4
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  93.40  <> 4 66080 721278 B6 03 3270  DSDESK AWS CLOUD SERVICES 2025.08 93.40   <> Total          $93.40 $93.40,,
AWS CLOUD SERVICES,1,970.65
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  970.65  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.08 970.65   <> Total          $970.65 $970.65,,
AWS CLOUD SERVICES,1,301.48
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  301.48  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.08 301.48   <> Total          $301.48 $301.48,,
AWS CLOUD SERVICES,1,768.48
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  768.48  <> 4 19900 727601 ED 03 3270  IMACCT AWS CLOUD SERVICES 2025.08 768.48   <> Total          $768.48 $768.48,,
AWS CLOUD SERVICES,1,646.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  646.37  <> 4 20300 611484 P1 03 3270  ADVA06 AWS CLOUD SERVICES 2025.08 646.37   <> Total          $646.37 $646.37,,
AWS CLOUD SERVICES,1,25.53
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  25.53  <> 4 21619 442511 OR 03 3270   AWS CLOUD SERVICES 2025.08 25.53   <> Total          $25.53 $25.53,,
AWS CLOUD SERVICES,1,124.71
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  124.71  <> 4 63000 427364  03 3270   AWS CLOUD SERVICES 2025.08 124.71   <> Total          $124.71 $124.71,,
AWS CLOUD SERVICES,1,1311.32
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1311.32  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 1311.32   <> Total          $1,311.32 $1,311.32",,
AWS CLOUD SERVICES,1,370.38
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  370.38  <> 4 19900 727601 FS 03 3270  FNLEDG AWS CLOUD SERVICES 2025.08 370.38   <> Total          $370.38 $370.38,,
AWS CLOUD SERVICES,1,360.57
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  360.57  <> 4 32023 441460 CL 03 3270   AWS CLOUD SERVICES 2025.08 360.57   <> Total          $360.57 $360.57,,
AWS CLOUD SERVICES,1,3.95
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3.95  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 3.95   <> Total          $3.95 $3.95,,
AWS CLOUD SERVICES,1,1026.17
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1026.17  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.08 1026.17   <> Total          $1,026.17 $1,026.17",,
AWS CLOUD SERVICES,1,3948.69
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3948.69  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.08 3948.69   <> Total          $3,948.69 $3,948.69",,
AWS CLOUD SERVICES,1,1766.92
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1766.92  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.08 1766.92   <> Total          $1,766.92 $1,766.92",,
AWS CLOUD SERVICES,1,299.7
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  299.70  <> 4 62251 401444 GF 03 3270   AWS CLOUD SERVICES 2025.08 299.70   <> Total          $299.70 $299.70,,
AWS CLOUD SERVICES,1,43.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  43.37  <> 4 20118 403880 2A 03 3270 ZES COMP AWS CLOUD SERVICES 2025.08 43.37   <> Total          $43.37 $43.37,,
AWS CLOUD SERVICES,1,49
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  49.00  <> 4 69749 403831 BP 03 3270   AWS CLOUD SERVICES 2025.08 49.00   <> Total          $49.00 $49.00,,
AWS CLOUD SERVICES,1,296.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  296.02  <> 4 19900 727601 BC 03 3270  ASBCSX AWS CLOUD SERVICES 2025.08 296.02   <> Total          $296.02 $296.02,,
AWS CLOUD SERVICES,1,0.39
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.39  <> 4 81107 443835 PN 03 3270   AWS CLOUD SERVICES 2025.08 0.39   <> Total          $0.39 $0.39,,
AWS CLOUD SERVICES,1,899.73
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  899.73  <> 4 19900 727601 SS 03 3270  SABILL AWS CLOUD SERVICES 2025.08 899.73   <> Total          $899.73 $899.73,,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.02  <> 4 64500 441150 2Y 03 3270  PATH AWS CLOUD SERVICES 2025.08 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,855.47
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  855.47  <> 4 19900 605000 AE 03 3270   AWS CLOUD SERVICES 2025.08 855.47   <> Total          $855.47 $855.47,,
AWS CLOUD SERVICES,1,2336.45
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2336.45  <> 4 63000 427768  03 3270   AWS CLOUD SERVICES 2025.08 2336.45   <> Total          $2,336.45 $2,336.45",,
AWS CLOUD SERVICES,1,313.84
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  313.84  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.08 313.84   <> Total          $313.84 $313.84,,
AWS CLOUD SERVICES,1,89.26
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  89.26  <> 4 19900 437782  05 3270  AWSBP AWS CLOUD SERVICES 2025.08 89.26   <> Total          $89.26 $89.26,,
AWS CLOUD SERVICES,1,261.66
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  261.66  <> 4 31695 442521 KJ 03 3270   AWS CLOUD SERVICES 2025.08 261.66   <> Total          $261.66 $261.66,,
AWS CLOUD SERVICES,1,0.17
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.17  <> 4 61070 400964 J7 03 3270   AWS CLOUD SERVICES 2025.08 0.17   <> Total          $0.17 $0.17,,
AWS CLOUD SERVICES,1,124.34
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  124.34  <> 4 81884 441587 YA 03 3270   AWS CLOUD SERVICES 2025.08 124.34   <> Total          $124.34 $124.34,,
AWS CLOUD SERVICES,1,1750.35
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  1750.35  <> 4 69996 660168 IT 03 3270  SISRI AWS CLOUD SERVICES 2025.08 1750.35   <> Total          $1,750.35 $1,750.35",,
AWS CLOUD SERVICES,1,517.23
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  517.23  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.08 517.23   <> Total          $517.23 $517.23,,
AWS CLOUD SERVICES,1,48.9
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  48.90  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.08 48.90   <> Total          $48.90 $48.90,,
AWS CLOUD SERVICES,1,3.98
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3.98  <> 4 18082 403933 2D 03 3270 DSG AWSLGC AWS CLOUD SERVICES 2025.08 3.98   <> Total          $3.98 $3.98,,
AWS CLOUD SERVICES,1,525.13
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  525.13  <> 4 69996 660167 BT 03 3270   AWS CLOUD SERVICES 2025.08 525.13   <> Total          $525.13 $525.13,,
AWS CLOUD SERVICES,1,3.74
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  3.74  <> 4 18082 403933 2D 03 3270 DSG AWSINF AWS CLOUD SERVICES 2025.08 3.74   <> Total          $3.74 $3.74,,
AWS CLOUD SERVICES,1,0.11
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.11  <> 4 77603 448000 JF 03 3270  WLAPP AWS CLOUD SERVICES 2025.08 0.11   <> Total          $0.11 $0.11,,
AWS CLOUD SERVICES,1,217.81
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  217.81  <> 4 19900 727601 BC 03 3270  ASBCSX AWS CLOUD SERVICES 2025.08 217.81   <> Total          $217.81 $217.81,,
AWS CLOUD SERVICES,1,0.13
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.13  <> 4 66080 721272 C7 03 3270  HTITTE AWS CLOUD SERVICES 2025.08 0.13   <> Total          $0.13 $0.13,,
AWS CLOUD SERVICES,1,402.51
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  402.51  <> 4 18082 403933 2D 03 3270  AWS AWS CLOUD SERVICES 2025.08 402.51   <> Total          $402.51 $402.51,,
AWS CLOUD SERVICES,1,221.08
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  221.08  <> 4 19900 721279 CT 03 3270   AWS CLOUD SERVICES 2025.08 221.08   <> Total          $221.08 $221.08,,
AWS CLOUD SERVICES,1,87.69
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  87.69  <> 4 17341 441315 MC 03 3270  MXG AWS CLOUD SERVICES 2025.08 87.69   <> Total          $87.69 $87.69,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  0.01  <> 4 81649 441587 RW 03 3270   AWS CLOUD SERVICES 2025.08 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,87.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  87.10  <> 4 29732 441348 WJ 03 3270   AWS CLOUD SERVICES 2025.08 87.10   <> Total          $87.10 $87.10,,
AWS CLOUD SERVICES,1,63.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  63.01  <> 4 44689 400915 CS 03 3270   AWS CLOUD SERVICES 2025.08 63.01   <> Total          $63.01 $63.01,,
AWS CLOUD SERVICES,1,19.46
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  19.46  <> 4 49912 443890 2A 03 3270  ADWEB AWS CLOUD SERVICES 2025.08 19.46   <> Total          $19.46 $19.46,,
AWS CLOUD SERVICES,1,41.51
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  41.51  <> 4 69086 442591 SN 03 3270   AWS CLOUD SERVICES 2025.08 41.51   <> Total          $41.51 $41.51,,
AWS CLOUD SERVICES,1,14.98
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  14.98  <> 4 61018 439001 T1 03 3270   AWS CLOUD SERVICES 2025.08 14.98   <> Total          $14.98 $14.98,,
AWS CLOUD SERVICES,1,71.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  71.01  <> 4 44689 400915 CS 03 3270 4.8.24  AWS CLOUD SERVICES 2025.08 71.01   <> Total          $71.01 $71.01,,
AWS CLOUD SERVICES,1,25.25
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  25.25  <> 4 66080 726158 N3 03 3270  PPEXPX AWS CLOUD SERVICES 2025.08 25.25   <> Total          $25.25 $25.25,,
AWS CLOUD SERVICES,1,103.68
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  103.68  <> 4 80879 444025 JM 03 3270   AWS CLOUD SERVICES 2025.08 103.68   <> Total          $103.68 $103.68,,
AWS CLOUD SERVICES,1,4020.44
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  4020.44  <> 4 18796 626480 T1 03 3270   AWS CLOUD SERVICES 2025.08 4020.44   <> Total          $4,020.44 $4,020.44",,
AWS CLOUD SERVICES,1,29853.55
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  29853.55  <> 4 66125 722280  03 3270 DTS AMAZON AWS CLOUD SERVICES 2025.08 29853.55   <> Total          $29,853.55 $29,853.55",,
AWS CLOUD SERVICES,1,2640.65
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  2640.65  <> 4 66125 722280  03 3270 DTS AMAZON AWS CLOUD SERVICES 2025.08 2640.65   <> Total          $2,640.65 $2,640.65",,
AWS CLOUD SERVICES,1,10.62
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  10.62  <> 4 19900 726155 K3 03 3270  DSGNRL AWS CLOUD SERVICES 2025.08 10.62   <> Total          $10.62 $10.62,,
AWS CLOUD SERVICES,1,44.18
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  44.18  <> 4 19900 726155 K3 03 3270  DSGNRL AWS CLOUD SERVICES 2025.08 44.18   <> Total          $44.18 $44.18,,
AWS CLOUD SERVICES,1,34.42
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  34.42  <> 4 19900 726152 G1 03 3270  FNLEDG AWS CLOUD SERVICES 2025.08 34.42   <> Total          $34.42 $34.42,,
AWS CLOUD SERVICES,1,32.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.08  32.37  <> 4 19900 726152 G1 03 3270  FNLEDG AWS CLOUD SERVICES 2025.08 32.37   <> Total          $32.37 $32.37,,
Grand Total,"$127,440.34","$127,440.34"
