Description of Goods and Services being Recharged,Quantity,Approved Rate
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  702.51  <> 4 19900 727601 ED 03 3270  IMACCT AWS CLOUD SERVICES 2025.05 702.51   <> Total          $702.51 $702.51,,
AWS CLOUD SERVICES,1,20.23
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  20.23  <> 4 62055 441287 3Y 03 3270   AWS CLOUD SERVICES 2025.05 20.23   <> Total          $20.23 $20.23,,
AWS CLOUD SERVICES,1,5021.57
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  5021.57  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.05 5021.57   <> Total          $5,021.57 $5,021.57",,
AWS CLOUD SERVICES,1,4736.83
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  4736.83  <> 4 31880 431587 MA 03 3270   AWS CLOUD SERVICES 2025.05 4736.83   <> Total          $4,736.83 $4,736.83",,
AWS CLOUD SERVICES,1,3.12
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3.12  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.05 3.12   <> Total          $3.12 $3.12,,
AWS CLOUD SERVICES,1,3239.02
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3239.02  <> 4 19900 727601 ED 03 3270  IMACCS AWS CLOUD SERVICES 2025.05 3239.02   <> Total          $3,239.02 $3,239.02",,
AWS CLOUD SERVICES,1,3.93
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3.93  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.05 3.93   <> Total          $3.93 $3.93,,
AWS CLOUD SERVICES,1,220.87
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  220.87  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.05 220.87   <> Total          $220.87 $220.87,,
AWS CLOUD SERVICES,1,12.56
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  12.56  <> 4 19900 433943  03 3270   AWS CLOUD SERVICES 2025.05 12.56   <> Total          $12.56 $12.56,,
AWS CLOUD SERVICES,1,645.7
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  645.70  <> 4 77025 445963 AN 03 3270   AWS CLOUD SERVICES 2025.05 645.70   <> Total          $645.70 $645.70,,
AWS CLOUD SERVICES,1,358.33
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  358.33  <> 4 69460 402832 WG 03 3270 AWS  AWS CLOUD SERVICES 2025.05 358.33   <> Total          $358.33 $358.33,,
AWS CLOUD SERVICES,1,13.17
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  13.17  <> 4 62259 401180 2Y 03 3270 FLYW 210 AWS CLOUD SERVICES 2025.05 13.17   <> Total          $13.17 $13.17,,
AWS CLOUD SERVICES,1,265.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  265.67  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.05 265.67   <> Total          $265.67 $265.67,,
AWS CLOUD SERVICES,1,111.69
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  111.69  <> 4 85857 444067 AI 03 3270   AWS CLOUD SERVICES 2025.05 111.69   <> Total          $111.69 $111.69,,
AWS CLOUD SERVICES,1,320.54
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  320.54  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.05 320.54   <> Total          $320.54 $320.54,,
AWS CLOUD SERVICES,1,45.43
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  45.43  <> 4 57946 442521 YS 03 3270   AWS CLOUD SERVICES 2025.05 45.43   <> Total          $45.43 $45.43,,
AWS CLOUD SERVICES,1,2.06
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.06  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.05 2.06   <> Total          $2.06 $2.06,,
AWS CLOUD SERVICES,1,336.56
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  336.56  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.05 336.56   <> Total          $336.56 $336.56,,
AWS CLOUD SERVICES,1,26
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  26.00  <> 4 30356 441406 HW 03 3270   AWS CLOUD SERVICES 2025.05 26.00   <> Total          $26.00 $26.00,,
AWS CLOUD SERVICES,1,673.28
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  673.28  <> 4 19900 727601 FS 03 3270  FNLEDG AWS CLOUD SERVICES 2025.05 673.28   <> Total          $673.28 $673.28,,
AWS CLOUD SERVICES,1,1.65
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1.65  <> 4 00215 804215 LZ 03 3270  BC84 AWS CLOUD SERVICES 2025.05 1.65   <> Total          $1.65 $1.65,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 69314 404025 ZB 03 3270   AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,504.14
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  504.14  <> 4 19900 444070 T1 03 3270   AWS CLOUD SERVICES 2025.05 504.14   <> Total          $504.14 $504.14,,
AWS CLOUD SERVICES,1,2883.7
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2883.70  <> 4 19900 402701 2J 03 3270  AWS AWS CLOUD SERVICES 2025.05 2883.70   <> Total          $2,883.70 $2,883.70",,
AWS CLOUD SERVICES,1,381.76
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  381.76  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 381.76   <> Total          $381.76 $381.76,,
AWS CLOUD SERVICES,1,0.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.02  <> 4 66080 721278 B3 03 3270  PSTHAF AWS CLOUD SERVICES 2025.05 0.02   <> Total          $0.02 $0.02,,
AWS CLOUD SERVICES,1,101.33
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  101.33  <> 4 85179 441437 RX 03 3270   AWS CLOUD SERVICES 2025.05 101.33   <> Total          $101.33 $101.33,,
AWS CLOUD SERVICES,1,70.48
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  70.48  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.05 70.48   <> Total          $70.48 $70.48,,
AWS CLOUD SERVICES,1,89.68
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  89.68  <> 4 66080 721278 B6 03 3270  DSDESK AWS CLOUD SERVICES 2025.05 89.68   <> Total          $89.68 $89.68,,
AWS CLOUD SERVICES,1,591.42
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  591.42  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.05 591.42   <> Total          $591.42 $591.42,,
AWS CLOUD SERVICES,1,299.99
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  299.99  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.05 299.99   <> Total          $299.99 $299.99,,
AWS CLOUD SERVICES,1,745.44
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  745.44  <> 4 19900 727601 ED 03 3270  IMACCT AWS CLOUD SERVICES 2025.05 745.44   <> Total          $745.44 $745.44,,
AWS CLOUD SERVICES,1,819.16
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  819.16  <> 4 20300 611484 P1 03 3270  ADVA06 AWS CLOUD SERVICES 2025.05 819.16   <> Total          $819.16 $819.16,,
AWS CLOUD SERVICES,1,25.51
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  25.51  <> 4 21619 442511 OR 03 3270   AWS CLOUD SERVICES 2025.05 25.51   <> Total          $25.51 $25.51,,
AWS CLOUD SERVICES,1,137.76
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  137.76  <> 4 63000 427364  03 3270   AWS CLOUD SERVICES 2025.05 137.76   <> Total          $137.76 $137.76,,
AWS CLOUD SERVICES,1,1443.59
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1443.59  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 1443.59   <> Total          $1,443.59 $1,443.59",,
AWS CLOUD SERVICES,1,407.87
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  407.87  <> 4 19900 727601 FS 03 3270  FNLEDG AWS CLOUD SERVICES 2025.05 407.87   <> Total          $407.87 $407.87,,
AWS CLOUD SERVICES,1,866.56
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  866.56  <> 4 32023 441460 CL 03 3270   AWS CLOUD SERVICES 2025.05 866.56   <> Total          $866.56 $866.56,,
AWS CLOUD SERVICES,1,3.68
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3.68  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 3.68   <> Total          $3.68 $3.68,,
AWS CLOUD SERVICES,1,959.41
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  959.41  <> 4 66122 722806 OP 03 3270  ITSVCS AWS CLOUD SERVICES 2025.05 959.41   <> Total          $959.41 $959.41,,
AWS CLOUD SERVICES,1,3421.29
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3421.29  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 3421.29   <> Total          $3,421.29 $3,421.29",,
AWS CLOUD SERVICES,1,2098.53
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2098.53  <> 4 61070 400915 CS 03 3270 4.8.24 AWS AWS CLOUD SERVICES 2025.05 2098.53   <> Total          $2,098.53 $2,098.53",,
AWS CLOUD SERVICES,1,404.03
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  404.03  <> 4 62251 401444 GF 03 3270   AWS CLOUD SERVICES 2025.05 404.03   <> Total          $404.03 $404.03,,
AWS CLOUD SERVICES,1,157.49
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  157.49  <> 4 20118 403880 2A 03 3270 ZES COMP AWS CLOUD SERVICES 2025.05 157.49   <> Total          $157.49 $157.49,,
AWS CLOUD SERVICES,1,47.87
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  47.87  <> 4 23298 444067 JB 03 3270   AWS CLOUD SERVICES 2025.05 47.87   <> Total          $47.87 $47.87,,
AWS CLOUD SERVICES,1,402.61
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  402.61  <> 4 19900 727601 BC 03 3270  ASBCSX AWS CLOUD SERVICES 2025.05 402.61   <> Total          $402.61 $402.61,,
AWS CLOUD SERVICES,1,0.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.37  <> 4 81107 443835 PN 03 3270   AWS CLOUD SERVICES 2025.05 0.37   <> Total          $0.37 $0.37,,
AWS CLOUD SERVICES,1,874.4
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  874.40  <> 4 19900 727601 SS 03 3270  SABILL AWS CLOUD SERVICES 2025.05 874.40   <> Total          $874.40 $874.40,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 64500 441150 2Y 03 3270  PATH AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,837.98
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  837.98  <> 4 19900 605000 AE 03 3270   AWS CLOUD SERVICES 2025.05 837.98   <> Total          $837.98 $837.98,,
AWS CLOUD SERVICES,1,2328.02
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2328.02  <> 4 63000 427768  03 3270   AWS CLOUD SERVICES 2025.05 2328.02   <> Total          $2,328.02 $2,328.02",,
AWS CLOUD SERVICES,1,299.32
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  299.32  <> 4 69996 660167 BT 03 3270  FSRIXX AWS CLOUD SERVICES 2025.05 299.32   <> Total          $299.32 $299.32,,
AWS CLOUD SERVICES,1,46.84
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  46.84  <> 4 19900 437782  05 3270  AWSBP AWS CLOUD SERVICES 2025.05 46.84   <> Total          $46.84 $46.84,,
AWS CLOUD SERVICES,1,1064.67
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1064.67  <> 4 31283 442521 KJ 03 3270   AWS CLOUD SERVICES 2025.05 1064.67   <> Total          $1,064.67 $1,064.67",,
AWS CLOUD SERVICES,1,0.07
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.07  <> 4 61070 400964 J7 03 3270   AWS CLOUD SERVICES 2025.05 0.07   <> Total          $0.07 $0.07,,
AWS CLOUD SERVICES,1,105.15
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  105.15  <> 4 81884 441587 YA 03 3270   AWS CLOUD SERVICES 2025.05 105.15   <> Total          $105.15 $105.15,,
AWS CLOUD SERVICES,1,3067.16
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3067.16  <> 4 69996 660168 IT 03 3270  SISRI AWS CLOUD SERVICES 2025.05 3067.16   <> Total          $3,067.16 $3,067.16",,
AWS CLOUD SERVICES,1,515.59
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  515.59  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.05 515.59   <> Total          $515.59 $515.59,,
AWS CLOUD SERVICES,1,336.36
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  336.36  <> 4 19900 727601 SS 03 3270  SADCWS AWS CLOUD SERVICES 2025.05 336.36   <> Total          $336.36 $336.36,,
AWS CLOUD SERVICES,1,3.67
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3.67  <> 4 18082 403933 2D 03 3270 DSG AWSLGC AWS CLOUD SERVICES 2025.05 3.67   <> Total          $3.67 $3.67,,
AWS CLOUD SERVICES,1,297.62
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  297.62  <> 4 69996 660167 BT 03 3270   AWS CLOUD SERVICES 2025.05 297.62   <> Total          $297.62 $297.62,,
AWS CLOUD SERVICES,1,3.41
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3.41  <> 4 18082 403933 2D 03 3270 DSG AWSINF AWS CLOUD SERVICES 2025.05 3.41   <> Total          $3.41 $3.41,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 77603 448000 JF 03 3270  WLAPP AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,210.49
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  210.49  <> 4 19900 727601 BC 03 3270  ASBCSX AWS CLOUD SERVICES 2025.05 210.49   <> Total          $210.49 $210.49,,
AWS CLOUD SERVICES,1,0.13
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.13  <> 4 66080 721272 C7 03 3270  HTITTE AWS CLOUD SERVICES 2025.05 0.13   <> Total          $0.13 $0.13,,
AWS CLOUD SERVICES,1,370.7
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  370.70  <> 4 18082 403933 2D 03 3270  AWS AWS CLOUD SERVICES 2025.05 370.70   <> Total          $370.70 $370.70,,
AWS CLOUD SERVICES,1,289.28
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  289.28  <> 4 19900 721279 CT 03 3270   AWS CLOUD SERVICES 2025.05 289.28   <> Total          $289.28 $289.28,,
AWS CLOUD SERVICES,1,87.69
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  87.69  <> 4 17341 441315 MC 03 3270  MXG AWS CLOUD SERVICES 2025.05 87.69   <> Total          $87.69 $87.69,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 81649 441587 RW 03 3270   AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,87.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  87.10  <> 4 29732 441348 WJ 03 3270   AWS CLOUD SERVICES 2025.05 87.10   <> Total          $87.10 $87.10,,
AWS CLOUD SERVICES,1,52.24
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  52.24  <> 4 61070 400915 CS 03 3270   AWS CLOUD SERVICES 2025.05 52.24   <> Total          $52.24 $52.24,,
AWS CLOUD SERVICES,1,18.84
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  18.84  <> 4 49912 443890 2A 03 3270  ADWEB AWS CLOUD SERVICES 2025.05 18.84   <> Total          $18.84 $18.84,,
AWS CLOUD SERVICES,1,37.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  37.37  <> 4 69086 442591 SN 03 3270   AWS CLOUD SERVICES 2025.05 37.37   <> Total          $37.37 $37.37,,
AWS CLOUD SERVICES,1,8.96
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  8.96  <> 4 61018 439001 T1 03 3270   AWS CLOUD SERVICES 2025.05 8.96   <> Total          $8.96 $8.96,,
AWS CLOUD SERVICES,1,35.61
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  35.61  <> 4 61070 400915 CS 03 3270 4.8.24  AWS CLOUD SERVICES 2025.05 35.61   <> Total          $35.61 $35.61,,
Grand Total,"$86,689.65","$86,689.65"
